รหัสธนาคาร,ชื่อธนาคาร,ตัวย่อธนาคาร,รายละเอียด
2,ธนาคารกรุงเทพ,BBL,
4,ธนาคารกสิกรไทย,KBANK,
6,ธนาคารกรุงไทย,KTB,
11,ธนาคารทหารไทยธนชาต,TTB,
14,ธนาคารไทยพาณิชย์,SCB,
25,ธนาคารกรุงศรีอยุธยา,BAY,
30,ธนาคารออมสิน,GSB,
69,ธนาคารเกียรตินาคินภัทร,KKP,
22,ธนาคารซีไอเอ็มบีไทย,CIMBT,
67,ธนาคารทิสโก้,TISCO,
24,ธนาคารยูโอบี,UOBT,
66,ธนาคารอิสลามแห่งประเทศไทย,SBT,
34,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,BAAC,
33,ธนาคารอาคารสงเคราะห์,GHB,
71,	ธนาคารไทยเครดิตเพื่อรายย่อย,TCD,
73,ธนาคารแลนด์ แอนด์ เฮ้าส์,LHFG,
70,ธนาคารไอซีบีซี (ไทย),ICBCT,
98,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,SME,
35,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,EXIM,
1,ธนาคารแห่งประเทศไทย,BOT,