location_name,location_name,location_group_name,province_name,lat,lng,can_transportation_car,can_transportation_boat
ไอคอนสยาม,Icon Siam,ท่าเรือ,กรุงเทพมหานคร,,,1,2
ริเวอร์ซิตี้,River City Pier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
ท่ามหาราช,ThaMaharajMall Pier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
เอเชียทีค,Asiatique The River Front Pier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
ศาลเจ้ากวนอู,Guan Au Shrine,ท่าเรือ,กรุงเทพมหานคร,,,0,2
วัดอรุณ,Wat ArunPier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
วัดประยูรวงศาวาส,Wat Prayoonwongsawat,ท่าเรือ,กรุงเทพมหานคร,,,1,2
วัดเทวราชกุญชร,Wat ThewaratKunchornWorawiharnPier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
วัดกัลยาณมิตร,Wat KalayanamitrPier,ท่าเรือ,กรุงเทพมหานคร,,,1,2
ท่าสาทร,Sathornpier (Central Pier),ท่าเรือ,กรุงเทพมหานคร,,,0,2
ท่าโอเรียนเต็ล,Oriental Pier,ท่าเรือ,กรุงเทพมหานคร,,,0,2
สะพานพระปิ่นเกล้า,Phra Pin Klao Bridge,ท่าเรือ,กรุงเทพมหานคร,,,0,2
ท่าพระอาทิตย์,PhraArthit,ท่าเรือ,กรุงเทพมหานคร,,,0,2
สะพานพระราม 8,King Rama VIII Bridge,ท่าเรือ,กรุงเทพมหานคร,,,0,2
เทเวศร์,Thewet,ท่าเรือ,กรุงเทพมหานคร,,,0,2
สะพานกรุงธน (ซังฮี้),Krung Thon Bridge (Sung Hi),ท่าเรือ,กรุงเทพมหานคร,,,0,2
พระยาพาลาซโซ,Phraya Palazzo,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,0,2
โรงแรมเดอะสยาม,The Siam,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมแมนดาริน,Mandarin Oriantal,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมเพนนินซูล่า,The Peninsula,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมมิลเลนเนียม ฮิลตัน,Millenium Hilton,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมแชงกรี-ลา,Shangri-la Bangkok,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมอนันตรา ริเวอร์ไซด์,Anantara Riverside,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมอวานี,Avani,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
โรงแรมชาเทรียม ริเวอร์ไซด์,Chatrium Hotel Riverside,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
ริว่า เซอย่า,Riva Surya Bangkok,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,0,2
ริว่า อรุณ,Riva Arun,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,0,2
โรงแรมรอยัล ออคิด เชอราตัน,Royal Orchid Sheraton,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,1,2
ชานบางกอกน้อย,Chann Bangkok Noi,ท่าเรือโรงแรม,กรุงเทพมหานคร,,,0,2
วัดพนัญเชิง,Wat Phananchoeng,ท่าเรือ,พระนครศรีอยุธยา,,,1,2
วัดนิเวศน์ธรรมประวัติ (บางปะอิน),Wat Niwet Thammaprawat,ท่าเรือ,พระนครศรีอยุธยา,,,1,2
บ้านตานิด,Baan Ta Nid River Lodge,ท่าร้านอาหาร,ปทุมธานี,,,0,2
วัดสิงห์,Wat Sing,ท่าเรือ,ปทุมธานี,,,1,2
สวนทิพย์,Suan Thip,ร้านอาหาร,นนทบุรี,,,1,2
โรงสี สตูดิโอ,Rongsi Studio,ร้านอาหาร,นนทบุรี,,,0,2
วัดกู้,Wat Ku,ท่าเรือ,นนทบุรี,,,1,2
ท่าเรือนนทบุรี พิบูลย์ 3,Nonthaburi (Pibul 3),ท่าเรือ,นนทบุรี,,,0,2