รายการเบิกอุปกรณ์,น้ำแร่
,กาแฟ (ชอท)
,กาแฟ (ซอง)
,น้ำตาล (ซอง)
,คอฟฟี่เมท (ซอง)
,ที่คนกาแฟ (อัน)
,แก้วกระดาษ (ใบ)
,กระดาษทิชชู่ (กล่อง)
,หลอด (แพค)
,เบาะที่นั่งเด็ก (Car Seat)
ความพร้อมของอุปกรณ์,ฟลีตน้ำมัน/ป้ายภาษี
,Wifi
,Bluetooh
,ต่อ Youtube / Airplay / USB
,ช่องสายชาร์ต USB
,วิทยุ
,ทีวี
,ไมโครโฟน
,ปลั๊กไฟ
,ป้ายประเมิน ฯลฯ
,เข็มขัดนิรภัย
,ถังขยะ / ถุงดำ
,ร่มใหญ่ (5 คัน) / เล็ก (5 คัน)
,O2
,เจลล้างมือ
,รอยเคลม
,ลมยาง (ไม่ต่ำกว่า 50 ปอนด์)
ความสะอาด,ความสะอาดของภายนอกรถรอบคัน
,ความสะอาดภายในห้องโดยสาร
,ความสะอาดของเบาะที่นั่ง
,ความเรียบร้อยของผ้าม่าน
,ความสะอาดของห้องเก็บสัมภาระ
,ความสะอาดของเครื่องชงกาแฟ